GENEID,BSS_1,BSS_2,BSS_3,M_1,M_2,M_3
LOC_Os03g64070,585.1172294,392.058344,407.5052918,908.871524,712.2784117,932.7813379
LOC_Os03g61030,63.65858746,38.86785306,67.11220221,228.0441278,107.9448478,236.2421077
LOC_Os08g38300,176.076944,162.2310389,174.4917257,309.5671494,465.6598908,338.4261939
LOC_Os03g60110,31.15207471,32.10822644,38.11973085,117.8778825,126.8548941,121.8709286
LOC_Os04g35760,23.02544653,33.7981331,24.16039279,182.8759673,114.2481966,62.81040165
LOC_Os07g48310,17.6076944,33.7981331,11.27484997,136.6061442,98.48982462,73.12255714
LOC_Os05g03550,2230.759437,2646.393822,2260.33897,3508.794914,3619.698035,3277.39051
LOC_Os01g34060,304.748557,339.6712377,286.1664302,657.6924846,622.4556916,474.3591527
LOC_Os06g11400,8.126628186,16.89906655,24.69729041,117.8778825,93.76231304,64.68533901
LOC_Os07g06990,23.02544653,84.49533275,52.61596653,198.2992416,239.5272535,136.8704275
LOC_Os03g24844,107.0006045,135.1925324,207.2424804,427.4450319,309.6520086,344.9884747
LOC_Os07g03130,255.9887879,226.4474918,213.6852518,600.4060371,523.1779484,340.3011313
LOC_Os07g41250,0,0,12.34864521,77.11637173,48.85095301,79.68483791
LOC_Os03g64280,16.25325637,43.93757303,28.99247135,125.5895197,156.0078822,89.9969934
LOC_Os09g35560,1.354438031,0,0.536897618,23.13491152,44.12344143,20.62431099
LOC_Os07g48420,8.126628186,11.82934658,18.79141662,78.21803419,74.85226671,76.87243187
LOC_Os05g15770,55.53195927,21.96878651,56.37424985,81.52302155,217.4655328,237.1795764
LOC_Os03g55830,234.3177794,143.6420657,213.6852518,404.3101204,386.0801125,471.5467467
LOC_Os03g29730,39.2787029,231.5172117,75.16566647,481.4264921,408.1418332,283.1155418
LOC_Os07g22504,992.8030768,3006.343939,1205.872049,7297.412091,5260.932472,7620.68291
LOC_Os07g28614,1400.488924,1049.432033,1214.462411,2007.22899,2158.109037,1668.694253
LOC_Os05g25870,1.354438031,0,1.073795235,17.62659925,23.63755791,54.37318351
