GENEID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10padj
LOC_Os01g07810,551.9937238,0.653293845,0.279472811,2.337597417,0.019408142,0.050765712,1.294429518
LOC_Os01g07870,123.2135427,-0.230179712,0.522758203,-0.440318522,0.659706427,0.781418166,0.107116497
LOC_Os01g07880,14.12631242,0.233187587,1.055701722,0.221132536,0.824989237,0.898442984,0.046509478
LOC_Os01g07890,15.36808059,-0.053449686,1.071364981,-0.049940383,0.960169897,0.979655936,0.008926426
LOC_Os01g07910,38.21268316,1.88199223,0.81857328,2.297961325,0.02156399,0.055500647,1.255701957
LOC_Os01g07920,21.80343097,-0.488569234,0.863829305,-0.565110606,0.571998535,0.710615423,0.148365371
LOC_Os01g07940,22.98951599,-0.377082711,1.02208036,-0.36880859,0.712270402,0.821647536,0.085314443
LOC_Os01g07990,20.46430843,-2.032623621,1.069541074,-1.904664916,0.056823642,0.125357751,0.901848809
LOC_Os01g08000,166.4171654,-0.733020154,0.415206262,-1.765199458,0.07753025,0.161992029,0.790506354
LOC_Os01g08090,12.42845086,0.662529769,1.151964521,0.573856371,0.566064999,0.706055709,0.151161031
LOC_Os01g08160,117.0840519,2.955430086,1.354387223,2.284097118,0.022365824,0.057255345,1.242183965
LOC_Os01g08200,332.491472,0.226578984,0.343973515,0.658729111,0.510069736,0.660070507,0.180409672
LOC_Os01g08280,47.40084906,-0.972497833,0.6962321,-1.396181856,0.162659739,0.291262364,0.53571563
LOC_Os01g08290,58.33636048,-0.984713818,0.771514944,-1.276598372,0.201744077,0.343093569,0.464587422
LOC_Os01g08310,78.90466586,-0.889555006,0.550509641,-1.615689618,0.106161437,0.209411557,0.678999353
LOC_Os01g08340,12.81007014,1.662835897,1.242197645,1.341194461,0.179857324,0.31541679,0.501115193
LOC_Os01g08350,49.43477931,1.749366309,0.770043776,2.271071991,0.02314262,0.058927552,1.2296816
LOC_Os01g08370,10.16485026,2.87688583,1.326188655,2.166179832,0.030297448,0.074192443,1.12964033
LOC_Os01g08400,161.740725,0.249720111,0.385229284,0.648234962,0.516832992,0.666128943,0.176441696
