"","BSS_0_1","BSS_0_2","BSS_0_3","M_0_1","M_0_2","M_0_3"
"LOC_Os10g42820",86.6840339876112,67.5962661996477,135.298199646486,18.7282617068768,23.6375579099475,10.3121554942192
"LOC_Os10g42830",193.684638441069,239.966745008749,213.148354204979,196.095916695533,236.375579099475,346.863412078283
"LOC_Os10g42840",644.712502782858,667.513128721521,613.673976967989,253.382364269509,278.135264740382,329.988975815016
"LOC_Os10g42860",24.3798845590157,23.6586931698767,93.9570830878373,48.4731479472104,42.5476042379054,78.7473692285833
"LOC_Os10g42870",228.900027248536,152.091598949207,168.048954322818,252.280701816163,175.705847130609,250.30413790514
"LOC_Os10g42900",39.2787029006363,47.3173863397534,83.7560283525864,4.40664981338277,0.787918596998249,0
"LOC_Os10g42940",762.548611484767,552.59947618212,713.536933849919,499.053091365598,410.505589036088,588.730331851789
"LOC_Os10g42950",415.812475534322,361.640024168115,351.667939557334,392.191833391066,397.898891484116,459.359653833402
"LOC_Os10g42970",77.2029677702162,28.7284131348503,70.8704855291115,89.234658721001,82.7314526848161,85.3096499976319
"LOC_Os10g42999",13.5443803105643,0,12.8855428234748,58.3881100273217,44.1234414319019,2.81240604387797
"LOC_Os10g43040",230.254465279592,383.608810683001,288.850918292894,198.299241602224,227.708474532494,135.932958787435
"LOC_Os10g43050",539.066336360457,415.717037127833,325.896853910384,850.483413982874,862.770863713082,1038.71529887227
"LOC_Os10g43060",304.748556987696,513.731623117322,435.42396790992,58.3881100273217,396.323054290119,241.866919773506
"LOC_Os10g43075",490.306567242426,380.228997373018,376.902127586639,461.596567951845,478.266588377937,593.417675258253
"LOC_Os11g01010",65.0130254907084,25.3485998248679,25.2341880293049,46.2698230405191,42.5476042379054,59.0605269214375
"LOC_Os11g01020",135.443803105643,11.8293465849383,59.5956355585711,4.40664981338277,0.787918596998249,0
"LOC_Os11g01040",13.5443803105643,70.9760795096301,39.7304237057141,55.0831226672846,37.0321740589177,21.5617796697311
"LOC_Os11g01074",715.143280397792,540.770129597181,711.389343379339,876.923312863171,716.218004671408,741.537726902493
"LOC_Os11g01140",1552.18598359066,2896.5000066549,2630.79832645944,3747.85566628204,3277.74136351271,2262.11192795918
"LOC_Os11g01154",858.713711689773,993.665113134821,784.944316996675,1736.22002647281,2016.28368971852,1729.62971698495
"LOC_Os11g01170",1814.94696161561,1659.48833520135,1121.57912325995,740.317168648305,1305.5811152261,1468.0759549043
"LOC_Os11g01180",124.608298857191,135.192532399295,216.369739910848,159.741055735125,219.829288562511,207.180578565677
