"","TXNAME","GENEID"
"4155","LOC_Os01g39800.2","LOC_Os01g39800"
"4156","LOC_Os01g39800.1","LOC_Os01g39800"
"4157","LOC_Os01g39810.2","LOC_Os01g39810"
"4158","LOC_Os01g39810.4","LOC_Os01g39810"
"4159","LOC_Os01g39810.1","LOC_Os01g39810"
"4160","LOC_Os01g39810.3","LOC_Os01g39810"
"4161","LOC_Os01g39820.1","LOC_Os01g39820"
"4162","LOC_Os01g39830.1","LOC_Os01g39830"
"4163","LOC_Os01g39840.2","LOC_Os01g39840"
"4164","LOC_Os01g39840.1","LOC_Os01g39840"
"4165","LOC_Os01g39850.1","LOC_Os01g39850"
"4166","LOC_Os01g39860.1","LOC_Os01g39860"
"4167","LOC_Os01g39870.1","LOC_Os01g39870"
"4168","LOC_Os01g39890.1","LOC_Os01g39890"
"4169","LOC_Os01g39910.1","LOC_Os01g39910"
"4170","LOC_Os01g39920.1","LOC_Os01g39920"
"4171","LOC_Os01g39930.1","LOC_Os01g39930"
"4172","LOC_Os01g39940.1","LOC_Os01g39940"
"4173","LOC_Os01g39950.1","LOC_Os01g39950"
"4174","LOC_Os01g39960.1","LOC_Os01g39960"
"4175","LOC_Os01g39970.1","LOC_Os01g39970"
"4176","LOC_Os01g39980.1","LOC_Os01g39980"
"4177","LOC_Os01g39990.1","LOC_Os01g39990"
"4178","LOC_Os01g40000.1","LOC_Os01g40000"
"4179","LOC_Os01g40010.1","LOC_Os01g40010"
"4180","LOC_Os01g40020.1","LOC_Os01g40020"
"4181","LOC_Os01g40030.1","LOC_Os01g40030"
"4182","LOC_Os01g40040.1","LOC_Os01g40040"
"4183","LOC_Os01g40050.2","LOC_Os01g40050"
"4184","LOC_Os01g40050.1","LOC_Os01g40050"
"4185","LOC_Os01g40070.1","LOC_Os01g40070"
"4186","LOC_Os01g40080.1","LOC_Os01g40080"
"4187","LOC_Os01g40094.1","LOC_Os01g40094"
"4188","LOC_Os01g40110.1","LOC_Os01g40110"
"4189","LOC_Os01g40120.1","LOC_Os01g40120"
"4190","LOC_Os01g40130.1","LOC_Os01g40130"
"4191","LOC_Os01g40140.1","LOC_Os01g40140"
"4192","LOC_Os01g40150.1","LOC_Os01g40150"
"4193","LOC_Os01g40160.1","LOC_Os01g40160"
"4194","LOC_Os01g40170.1","LOC_Os01g40170"
"4195","LOC_Os01g40180.1","LOC_Os01g40180"
"4196","LOC_Os01g40190.1","LOC_Os01g40190"
"4197","LOC_Os01g40200.1","LOC_Os01g40200"
"4198","LOC_Os01g40200.2","LOC_Os01g40200"
"4199","LOC_Os01g40210.1","LOC_Os01g40210"
"4200","LOC_Os01g40220.1","LOC_Os01g40220"
"4201","LOC_Os01g40230.1","LOC_Os01g40230"
"4202","LOC_Os01g40240.1","LOC_Os01g40240"
"4203","LOC_Os01g40250.1","LOC_Os01g40250"
"4204","LOC_Os01g40260.1","LOC_Os01g40260"
"4205","LOC_Os01g40280.2","LOC_Os01g40280"
"4206","LOC_Os01g40280.1","LOC_Os01g40280"
"4207","LOC_Os01g40280.3","LOC_Os01g40280"
"4208","LOC_Os01g40290.1","LOC_Os01g40290"
"4209","LOC_Os01g40310.1","LOC_Os01g40310"
"4210","LOC_Os01g40320.1","LOC_Os01g40320"
"4211","LOC_Os01g40330.1","LOC_Os01g40330"
"4212","LOC_Os01g40330.2","LOC_Os01g40330"
"4213","LOC_Os01g40340.1","LOC_Os01g40340"
"4214","LOC_Os01g40340.2","LOC_Os01g40340"
"4215","LOC_Os01g40340.3","LOC_Os01g40340"
"4216","LOC_Os01g40350.1","LOC_Os01g40350"
"4217","LOC_Os01g40360.1","LOC_Os01g40360"
"4218","LOC_Os01g40370.1","LOC_Os01g40370"
"4219","LOC_Os01g40380.1","LOC_Os01g40380"
"4220","LOC_Os01g40390.1","LOC_Os01g40390"
"4221","LOC_Os01g40400.1","LOC_Os01g40400"
"4222","LOC_Os01g40410.1","LOC_Os01g40410"
"4223","LOC_Os01g40420.2","LOC_Os01g40420"
"4224","LOC_Os01g40420.1","LOC_Os01g40420"
"4225","LOC_Os01g40420.3","LOC_Os01g40420"
"4226","LOC_Os01g40430.1","LOC_Os01g40430"
"4227","LOC_Os01g40450.1","LOC_Os01g40450"
"4228","LOC_Os01g40460.1","LOC_Os01g40460"
"4229","LOC_Os01g40470.1","LOC_Os01g40470"
"4230","LOC_Os01g40480.1","LOC_Os01g40480"
"4231","LOC_Os01g40499.2","LOC_Os01g40499"
"4232","LOC_Os01g40499.1","LOC_Os01g40499"
"4233","LOC_Os01g40520.1","LOC_Os01g40520"
"4234","LOC_Os01g40530.1","LOC_Os01g40530"
"4235","LOC_Os01g40540.1","LOC_Os01g40540"
"4236","LOC_Os01g40550.1","LOC_Os01g40550"
"4237","LOC_Os01g40560.1","LOC_Os01g40560"
"4238","LOC_Os01g40570.1","LOC_Os01g40570"
"4239","LOC_Os01g40580.1","LOC_Os01g40580"
"4240","LOC_Os01g40590.1","LOC_Os01g40590"
"4241","LOC_Os01g40600.1","LOC_Os01g40600"
"4242","LOC_Os01g40610.1","LOC_Os01g40610"
"4243","LOC_Os01g40620.1","LOC_Os01g40620"
"4244","LOC_Os01g40620.2","LOC_Os01g40620"
"4245","LOC_Os01g40630.3","LOC_Os01g40630"
"4246","LOC_Os01g40630.2","LOC_Os01g40630"
"4247","LOC_Os01g40630.1","LOC_Os01g40630"
"4248","LOC_Os01g40640.4","LOC_Os01g40640"
"4249","LOC_Os01g40640.1","LOC_Os01g40640"
"4250","LOC_Os01g40640.3","LOC_Os01g40640"
"4251","LOC_Os01g40650.1","LOC_Os01g40650"
"4252","LOC_Os01g40660.1","LOC_Os01g40660"
"4253","LOC_Os01g40670.1","LOC_Os01g40670"
"4254","LOC_Os01g40670.2","LOC_Os01g40670"
"4255","LOC_Os01g40680.1","LOC_Os01g40680"
"4256","LOC_Os01g40690.2","LOC_Os01g40690"
"4257","LOC_Os01g40690.1","LOC_Os01g40690"
"4258","LOC_Os01g40700.1","LOC_Os01g40700"
"4259","LOC_Os01g40710.1","LOC_Os01g40710"
"4260","LOC_Os01g40720.1","LOC_Os01g40720"
"4261","LOC_Os01g40730.1","LOC_Os01g40730"
"4262","LOC_Os01g40740.1","LOC_Os01g40740"
"4263","LOC_Os01g40750.1","LOC_Os01g40750"
"4264","LOC_Os01g40760.1","LOC_Os01g40760"
"4265","LOC_Os01g40770.1","LOC_Os01g40770"
"4266","LOC_Os01g40780.1","LOC_Os01g40780"
"4267","LOC_Os01g40790.1","LOC_Os01g40790"
"4268","LOC_Os01g40800.1","LOC_Os01g40800"
"4269","LOC_Os01g40810.1","LOC_Os01g40810"
"4270","LOC_Os01g40820.1","LOC_Os01g40820"
"4271","LOC_Os01g40830.1","LOC_Os01g40830"
"4272","LOC_Os01g40840.2","LOC_Os01g40840"
"4273","LOC_Os01g40840.1","LOC_Os01g40840"
"4274","LOC_Os01g40860.1","LOC_Os01g40860"
"4275","LOC_Os01g40870.1","LOC_Os01g40870"
"4276","LOC_Os01g40880.1","LOC_Os01g40880"
"4277","LOC_Os01g40890.1","LOC_Os01g40890"
"4278","LOC_Os01g40900.1","LOC_Os01g40900"
"4279","LOC_Os01g40910.1","LOC_Os01g40910"
"4280","LOC_Os01g40920.1","LOC_Os01g40920"
"4281","LOC_Os01g40930.1","LOC_Os01g40930"
"4282","LOC_Os01g40940.1","LOC_Os01g40940"
